timestamp ba_x ba_y ba_z bg_x bg_y bg_z
2772.444000 -0.72656667 -0.40905498 0.04477764 0.00099227 -0.00007090 0.00015778
2772.512000 -0.72656653 -0.40905497 0.04477763 -0.00056886 0.00067012 -0.00037268
2772.576000 -0.72656652 -0.40905496 0.04477763 0.00140736 0.00012535 -0.00005154
2772.640000 -0.72656657 -0.40905495 0.04477763 -0.00048418 0.00071982 0.00032284
2772.704000 -0.72656659 -0.40905489 0.04477763 0.00188748 0.00172898 0.00065978
2772.772000 -0.72656664 -0.40905474 0.04477767 -0.00025989 0.00007677 0.00126409
2772.840000 -0.72656660 -0.40905558 0.04477768 -0.00041718 0.00004462 -0.00557805
2772.904000 -0.72656673 -0.40905744 0.04477773 0.00312859 0.00201335 0.00585595
2772.972000 -0.72656671 -0.40905763 0.04477772 -0.00032859 -0.00067348 -0.00171864
2773.040000 -0.72656667 -0.40905794 0.04477764 -0.00044821 -0.00206311 0.00249053
2773.104000 -0.72656676 -0.40905775 0.04477768 0.00100233 0.00047426 -0.00097605
2773.168000 -0.72656673 -0.40905775 0.04477768 0.00240158 0.00024908 -0.00138341
2773.240000 -0.72656674 -0.40905759 0.04477772 0.00102044 0.00203727 -0.00523165
2773.304000 -0.72656692 -0.40905912 0.04477745 0.00032394 -0.00144326 0.00321888
2773.368000 -0.72656691 -0.40905911 0.04477744 0.00079176 -0.00211637 -0.00207295
2773.436000 -0.72656689 -0.40905908 0.04477743 -0.00131374 -0.00115459 -0.00067335
2773.504000 -0.72656681 -0.40905898 0.04477733 -0.00283131 -0.00089506 -0.00033183
2773.568000 -0.72656666 -0.40905889 0.04477725 0.00019214 0.00039951 0.00092225
2773.644000 -0.72656664 -0.40905890 0.04477725 -0.00314686 -0.00068247 -0.00151945
2773.744000 -0.72656661 -0.40905885 0.04477726 -0.00102328 -0.00247337 -0.00042113
2773.844000 -0.72656654 -0.40905881 0.04477723 0.00065116 -0.00087543 -0.00047051
2773.900000 -0.72656651 -0.40905879 0.04477724 0.00001603 -0.00053834 -0.00065939
2773.976000 -0.72656634 -0.40905892 0.04477714 -0.00035019 -0.00070675 -0.00046861
2774.040000 -0.72656629 -0.40905912 0.04477715 -0.00086018 -0.00033603 -0.00459737
2774.104000 -0.72656628 -0.40905920 0.04477713 0.00169481 -0.00019135 0.00645222
2774.172000 -0.72656601 -0.40906009 0.04477692 0.00067881 0.00227272 -0.00073221
2774.240000 -0.72656601 -0.40906005 0.04477693 -0.00033893 -0.00095222 0.00143685
2774.304000 -0.72656601 -0.40906004 0.04477693 -0.00008445 -0.00003244 -0.00002357
2774.380000 -0.72656628 -0.40905997 0.04477697 0.00075610 -0.00038042 -0.00091816
2774.440000 -0.72656627 -0.40905989 0.04477698 0.00109857 -0.00038208 0.00281417
2774.504000 -0.72656630 -0.40905986 0.04477700 -0.00075364 0.00089872 0.00128576
2774.608000 -0.72656650 -0.40905964 0.04477706 0.00182958 0.00112326 0.00004442
2774.676000 -0.72656650 -0.40905983 0.04477701 -0.00005587 0.00015144 0.00317988
2774.744000 -0.72656665 -0.40905948 0.04477700 -0.00118291 -0.00079790 -0.00029503
2774.804000 -0.72656666 -0.40905928 0.04477696 -0.00241409 -0.00293842 0.00096008
2774.876000 -0.72656663 -0.40905934 0.04477697 -0.00118360 -0.00067226 0.00031563
2774.940000 -0.72656659 -0.40905933 0.04477697 -0.00285362 -0.00160782 0.00074816
2775.000000 -0.72656657 -0.40905890 0.04477706 0.00358664 0.00260541 -0.00497876
2775.076000 -0.72656650 -0.40905776 0.04477718 0.00358810 -0.00011543 0.00600466
